Will i want?;Хочу ли я?
Did he have?;Он имел?
He didn't have.;Он не имел.
He had.;Он имел.
Will she have?;Будет ли она иметь?
She will not have.;Она не будет иметь.
She will have.;Она будет иметь.
Does she have?;У нее есть?
She doesn't have.;Она не имеет.
She haves.;У нее есть.
Did she have?;Она имела?
She didn't have.;У нее не было.
She had.;У нее был.
Will i do?;Я сделаю?
I will not do.;Я не буду делать.
I will do.;Я сделаю.
Do i do?;Я делаю?
I don't do.;Я не делаю
I do.;Я делаю.
Did i do?;Я сделал?
I didn't do.;Я не делал.
I did.;Я сделал.
Will you do?;Ты сделаешь?
You will not do.;Вы не будете делать.
You will do.;Вы будете делать.
Do you do?;Вы делаете?
You don't do.;Вы не делаете.
You do.;Вы делаете.
Did you do?;Ты сделал?
You didn't do.;Вы не сделали.
You did.;Ты сделал.
Will we do?;Мы будем делать?
We will not do.;Мы не будем делать.
We will do.;Мы сделаем.
Do we do?;Мы делаем?
We don't do.;Мы не делаем.
We do.;Мы делаем.
Did we do?;Мы сделали?
We didn't do.;Мы не делали.
We did.;Мы сделали.
Will they do?;Будут ли они делать?
They will not do.;Они не будут делать.
They will do.;Они сделают.
Do they do?;Они делают?
They don't do.;Они не делают.
They do.;Они делают.
Did they do?;Они сделали?
They didn't do.;Они не сделали.
They did.;Они сделали.
Will he do?;Он будет делать?
He will not do.;Он не будет делать.
He will do.;Он сделает.
Does he do?;Он делает?
He doesn't do.;Он не делает.
He dos.;Он дос.
Did he do?;Он сделал?
He didn't do.;Он не сделал.
He did.;Он сделал.
Will she do?;Будет ли она делать?
She will not do.;Она не будет делать.
She will do.;Она сделает.
Does she do?;Она делает?
She doesn't do.;Она не делает.
She dos.;Она душ.
Did she do?;Она сделала?
She didn't do.;Она не сделала.
She did.;Она сделала.
Will i say?;Я скажу?
I will not say.;Я не скажу.
I will say.;Я скажу.
Do i say?;Я говорю?
I don't say.;Я не говорю
I say.;Я говорю.
Did i say?;Я сказал?
I didn't say.;Я не сказал
I said.;Я сказал.
Will you say?;Ты скажешь?
You will not say.;Вы не скажете.
You will say.;Вы скажете.
Do you say?;Вы говорите?
You don't say.;Вы не говорите.
You say.;Ты говоришь.
Did you say?;Ты сказал?
You didn't say.;Вы не сказали.
You said.;Вы сказали.
Will we say?;Будем ли мы говорить?
We will not say.;Мы не будем говорить.
We will say.;Мы скажем.
Do we say?;Мы говорим?
We don't say.;Мы не говорим.
We say.;Мы говорим.
Did we say?;Мы сказали?
We didn't say.;Мы не сказали.
We said.;Мы сказали.
Will they say?;Будут ли они сказать?
They will not say.;Они не скажут.
They will say.;Они скажут.
Do they say?;Они говорят?
They don't say.;Они не говорят.
They say.;Они говорят.
Did they say?;Они сказали?
They didn't say.;Они не сказали.
They said.;Они сказали.
Will he say?;Он скажет?
He will not say.;Он не скажет.
He will say.;Он скажет.
Does he say?;Он говорит?
He doesn't say.;Он не говорит.
He saes.;Он saes.
Did he say?;Он сказал?
He didn't say.;Он не сказал.
He said.;Он сказал.
Will she say?;Она скажет?
She will not say.;Она не скажет.
She will say.;Она скажет.
Does she say?;Она говорит?
She doesn't say.;Она не говорит.
She saes.;Она говорит.
Did she say?;Она сказала?
She didn't say.;Она не сказала.
She said.;Она сказала.
Will i go?;Я пойду?
I will not go.;Я не буду вдаваться.
I will go.;Я пойду.
Do i go?;Я пойду?
I don't go.;Я не хожу
I go.;Я пошел.
Did i go?;Я пошел?
I didn't go.;Я не пошел
I went.;Я пошел.
Will you go?;Ты пойдешь?
You will not go.;Ты не пойдешь.
You will go.;Ты пойдешь.
Do you go?;Ты идешь?
You don't go.;Ты не уходишь.
You go.;Ваш ход.
Did you go?;Ты пошел?
You didn't go.;Вы не пошли.
You went.;Ты пошел.
Will we go?;Мы пойдем?
We will not go.;Мы не пойдем.
We will go.;Мы пойдем.
Do we go?;Мы идем?
We don't go.;Мы не идем.
We go.;Мы идем.
Did we go?;Мы пошли?
We didn't go.;Мы не пошли.
We went.;Мы пошли.
Will they go?;Они пойдут?
They will not go.;Они не пойдут.
They will go.;Они пойдут.
Do they go?;Они идут?
They don't go.;Они не уходят.
They go.;Они идут.
Did they go?;Они пошли?
They didn't go.;Они не пошли.
They went.;Они пошли.
Will he go?;Он пойдет?
He will not go.;Он не пойдет.
He will go.;Он пойдет.
Does he go?;Он идет?
He doesn't go.;Он не идет
He gos.;Он гос.
Did he go?;Он ушел?
He didn't go.;Он не пошел.
He went.;Он ушел.
Will she go?;Она пойдет?
She will not go.;Она не пойдет.
She will go.;Она пойдет.
Does she go?;Она идет?
She doesn't go.;Она не идет
She gos.;Она гос.
Did she go?;Она ушла?
She didn't go.;Она не пошла.
She went.;Она ушла.
Will i get?;Я получу?
I will not get.;Я не получу.
I will get.;Я получу.
Do i get?;Я понял?
I don't get.;Я не понимаю
I get.;Я получил.
Did i get?;Я получил?
I didn't get.;Я не получил.
I got.;Я получил.
Will you get?;Вы получите?
You will not get.;Вы не получите.
You will get.;Ты получишь.
Do you get?;Вы получаете?
You don't get.;Вы не получите.
You get.;Ты получаешь.
Did you get?;Ты получил?
You didn't get.;Вы не получили.
You got.;Ты получил.
Will we get?;Мы получим?
We will not get.;Мы не получим.
We will get.;Мы получим.
Do we get?;Мы получаем?
We don't get.;Мы не получаем.
We get.;Мы получили.
Did we get?;Мы получили?
We didn't get.;Мы не получили.
We got.;У нас есть.
Will they get?;Они получат?
They will not get.;Они не получат.
They will get.;Они получат.
Do they get?;Они получают?
They don't get.;Они не получают.
They get.;Они получают.
Did they get?;Они получили?
They didn't get.;Они не получили.
They got.;У них есть.
Will he get?;Получит ли он?
He will not get.;Он не получит.
He will get.;Он получит.
Does he get?;Он получает?
He doesn't get.;Он не получает.
He getes.;Он получает.
Did he get?;Он получил?
He didn't get.;Он не получил.
He got.;Он получил.
Will she get?;Она получит?
She will not get.;Она не получит.
She will get.;Она получит.
Does she get?;Она получает?
She doesn't get.;Она не получает.
She getes.;Она получает.
Did she get?;Она получила?
She didn't get.;Она не получила.
She got.;У нее есть.
Will i make?;Я сделаю?
I will not make.;Я не сделаю.
I will make.;Я сделаю.
Do i make?;Я делаю?
I don't make.;Я не делаю.
I make.;Я делаю.
Did i make?;Я сделал?
I didn't make.;Я не сделал.
I made.;Я сделал.
Will you make?;Ты сделаешь?
You will not make.;Ты не сделаешь.
You will make.;Ты сделаешь.
Do you make?;Ты делаешь?
You don't make.;Вы не делаете.
You make.;Ты делаешь.
Did you make?;Ты сделал?
You didn't make.;Вы не сделали.
You made.;Ты сделал.
Will we make?;Мы сделаем?
We will not make.;Мы не будем делать.
We will make.;Мы сделаем.
Do we make?;Мы делаем?
We don't make.;Мы не делаем.
We make.;Мы делаем.
Did we make?;Мы сделали?
We didn't make.;Мы не сделали.
We made.;Мы сделали.
Will they make?;Они сделают?
They will not make.;Они не сделают.
They will make.;Они сделают.
Do they make?;Они делают?
They don't make.;Они не делают.
They make.;Они делают.
Did they make?;Они сделали?
They didn't make.;Они не сделали.
They made.;Они сделали.
Will he make?;Он сделает?
He will not make.;Он не сделает.
He will make.;Он сделает.
Does he make?;Он делает?
He doesn't make.;Он не делает.
He makes.;Он сделает.
Did he make?;Он сделал?
He didn't make.;Он не сделал.
He made.;Он сделал.
Will she make?;Она сделает?
She will not make.;Она не сделает.
She will make.;Она сделает.
Does she make?;Она делает?
She doesn't make.;Она не делает.
She makes.;Она делает.
Did she make?;Она сделала?
She didn't make.;Она не сделала.
She made.;Она сделала.
Will i know?;Я буду знать?
I will not know.;Я не буду знать
I will know.;Я буду знать.
Do i know?;Я знаю?
I don't know.;Я не знаю.
I know.;Я знаю.
Did i know?;Я знал?
I didn't know.;Я не знал
I knew.;Я знал.
Will you know?;Ты будешь знать?
You will not know.;Вы не будете знать.
You will know.;Ты узнаешь.
Do you know?;Ты знаешь?
You don't know.;Вы не знаете
You know.;Знаешь.
Did you know?;Вы знали?
You didn't know.;Вы не знали
You knew.;Вы знали.
Will we know?;Будем ли мы знать?
We will not know.;Мы не будем знать.
We will know.;Мы узнаем.
Do we know?;Мы знаем?
We don't know.;Мы не знаем
We know.;Мы знаем.
Did we know?;Знали ли мы?
We didn't know.;Мы не знали.
We knew.;Мы знали.
Will they know?;Будут ли они знать?
They will not know.;Они не будут знать.
They will know.;Они будут знать.
Do they know?;Они знают?
They don't know.;Они не знают
They know.;Они знают.
Did they know?;Они знали?
They didn't know.;Они не знали.
They knew.;Они знали.
Will he know?;Будет ли он знать?
He will not know.;Он не будет знать.
He will know.;Он узнает.
Does he know?;Он знает?
He doesn't know.;Он не знает
He knowes.;Он знает.
Did he know?;Он знал?
He didn't know.;Он не знал
He knew.;Он знал.
Will she know?;Будет ли она знать?
She will not know.;Она не будет знать.
She will know.;Она узнает.
Does she know?;Она знает?
She doesn't know.;Она не знает
She knowes.;Она знает.
Did she know?;Она знала?
She didn't know.;Она не знала
She knew.;Она знала.
Will i think?;Я буду думать?
I will not think.;Я не буду думать.
I will think.;Я подумаю.
Do i think?;Я думаю?
I don't think.;Я не думаю
I think.;Я думаю.
Did i think?;Я думал?
I didn't think.;Я не думал
I thought.;Я думал.
Will you think?;Будешь думать?
You will not think.;Вы не будете думать.
You will think.;Вы будете думать.
Do you think?;Ты думаешь?
You don't think.;Ты не думаешь.
You think.;Ты думаешь.
Did you think?;Ты думал?
You didn't think.;Вы не думали.
You thought.;Ты думал
Will we think?;Будем ли мы думать?
We will not think.;Мы не будем думать.
We will think.;Будем думать.
Do we think?;Мы думаем?
We don't think.;Мы не думаем.
We think.;Мы думаем.
Did we think?;Мы думали?
We didn't think.;Мы не думали.
We thought.;Мы думали.
Will they think?;Будут ли они думать?
They will not think.;Они не будут думать.
They will think.;Они будут думать.
Do they think?;Они думают?
They don't think.;Они не думают.
They think.;Они думают.
Did they think?;Они думали?
They didn't think.;Они не думали.
They thought.;Они думали.
Will he think?;Он будет думать?
He will not think.;Он не будет думать.
He will think.;Он будет думать.
Does he think?;Он думает?
He doesn't think.;Он не думает
He thinkes.;Он думает
Did he think?;Он думал?
He didn't think.;Он не думал.
He thought.;Он думал.
Will she think?;Будет ли она думать?
She will not think.;Она не будет думать.
She will think.;Она будет думать.
Does she think?;Она думает?
She doesn't think.;Она не думает
She thinkes.;Она думает
Did she think?;Она думала?
She didn't think.;Она не думала.
She thought.;Она думала.
Will i take?;Я возьму?
I will not take.;Я не возьму.
I will take.;Я возьму.
Do i take?;Я беру?
I don't take.;Я не беру.
I take.;Я беру.
Did i take?;Я взял?
I didn't take.;Я не взял.
I took.;Я взял.
Will you take?;Возьмешь ли ты?
You will not take.;Вы не возьмете.
You will take.;Вы возьмете.
Do you take?;Ты возьмешь?
You don't take.;Вы не берете.
You take.;Ты взял.
Did you take?;Ты взял?
You didn't take.;Вы не взяли.
You took.;Ты взял.
Will we take?;Мы возьмем?
We will not take.;Мы не возьмем.
We will take.;Мы возьмем.
Do we take?;Мы берем?
We don't take.;Мы не берем.
We take.;Мы принимаем.
Did we take?;Мы взяли?
We didn't take.;Мы не взяли.
We took.;Мы взяли.
Will they take?;Они возьмут?
They will not take.;Они не возьмут.
They will take.;Они возьмут.
Do they take?;Они берут?
They don't take.;Они не берут.
They take.;Они взяли.
Did they take?;Они взяли?
They didn't take.;Они не взяли.
They took.;Они взяли.
Will he take?;Он возьмет?
He will not take.;Он не возьмет.
He will take.;Он возьмет.
Does he take?;Он берет?
He doesn't take.;Он не берет.
He takes.;Он берет.
Did he take?;Он взял?
He didn't take.;Он не взял.
He took.;Он взял.
Will she take?;Она возьмет?
She will not take.;Она не возьмет.
She will take.;Она возьмет.
Does she take?;Она берет?
She doesn't take.;Она не берет.
She takes.;Она берет.
Did she take?;Она взяла?
She didn't take.;Она не взяла.
She took.;Она взяла.
Will i see?;Я увижу?
I will not see.;Я не увижу
I will see.;Я увижу.
Do i see?;Я вижу?
I don't see.;Я не вижу
I see.;Понимаю.
Did i see?;Я видел?
I didn't see.;Я не видела
I saw.;Я видел.
Will you see?;Ты увидишь?
You will not see.;Вы не увидите.
You will see.;Ты увидишь.
Do you see?;Ты видишь?
You don't see.;Вы не видите
You see.;Вы видите.
Did you see?;Вы видели?
You didn't see.;Вы не видели
You saw.;Ты видел.
Will we see?;Мы увидим?
We will not see.;Мы не увидим.
We will see.;Посмотрим.
Do we see?;Мы видим?
We don't see.;Мы не видим
We see.;Мы видим.
Did we see?;Мы видели?
We didn't see.;Мы не видели.
We saw.;Мы видели.
Will they see?;Они увидят?
They will not see.;Они не увидят.
They will see.;Они увидят.
Do they see?;Они видят?
They don't see.;Они не видят.
They see.;Они видят.
Did they see?;Они видели?
They didn't see.;Они не видели.
They saw.;Они видели.
Will he see?;Увидит ли он?
He will not see.;Он не увидит.
He will see.;Он увидит.
Does he see?;Он видит?
He doesn't see.;Он не видит
He sees.;Он видит.
Did he see?;Он видел?
He didn't see.;Он не видел.
He saw.;Он видел.
Will she see?;Она увидит?
She will not see.;Она не увидит.
She will see.;Она увидит.
Does she see?;Она видит?
She doesn't see.;Она не видит
She sees.;Она видит.
Did she see?;Она видела?
She didn't see.;Она не видела.
She saw.;Она видела.
Will i come?;Я приду?
I will not come.;Я не приеду.
I will come.;Я приду.
Do i come?;Я приду?
I don't come.;Я не приду
I come.;Я прихожу.
Did i come?;Я пришел?
I didn't come.;Я не пришел
I came.;Я пришел.
Will you come?;Ты придешь?
You will not come.;Вы не придете.
You will come.;Ты придешь.
Do you come?;Ты пришел?
You don't come.;Ты не придешь.
You come.;Вы пришли.
Did you come?;Ты пришел?
You didn't come.;Вы не пришли
You came.;Ты пришел.
Will we come?;Мы приедем?
We will not come.;Мы не приедем.
We will come.;Мы придем.
Do we come?;Мы пришли?
We don't come.;Мы не приходим.
We come.;Мы приходим.
Did we come?;Мы пришли?
We didn't come.;Мы не пришли.
We came.;Мы пришли.
Will they come?;Придут ли они?
They will not come.;Они не придут.
They will come.;Они придут.
Do they come?;Они приходят?
They don't come.;Они не приходят.
They come.;Они приходят.
Did they come?;Они пришли?
They didn't come.;Они не пришли.
They came.;Они пришли.
Will he come?;Придет ли он?
He will not come.;Он не придет.
He will come.;Он придет.
Does he come?;Он приходит?
He doesn't come.;Он не приходит.
He comes.;Он приходит.
Did he come?;Он пришел?
He didn't come.;Он не пришел.
He came.;Он пришел.
Will she come?;Она придет?
She will not come.;Она не придет.
She will come.;Она придет.
Does she come?;Она приходит?
She doesn't come.;Она не приходит.
She comes.;Она приходит.
Did she come?;Она пришла?
She didn't come.;Она не пришла.
She came.;Она пришла.
Will i find?;Я найду?
I will not find.;Не найду.
I will find.;Я найду.
Do i find?;Я нахожу?
I don't find.;Не нахожу
I find.;Я нахожу.
Did i find?;Я нашел?
I didn't find.;Я не нашел.
I found.;Я нашел.
Will you find?;Ты найдешь?
You will not find.;Вы не найдете.
You will find.;Ты найдешь.
Do you find?;Ты находишь?
You don't find.;Ты не находишь.
You find.;Ты находишь.
Did you find?;Вы нашли?
You didn't find.;Вы не нашли.
You found.;Ты нашел.
Will we find?;Мы найдем?
We will not find.;Мы не найдем.
We will find.;Мы найдем.
Do we find?;Мы находим?
We don't find.;Мы не находим.
We find.;Мы нашли.
Did we find?;Мы нашли?
We didn't find.;Мы не нашли.
We found.;Мы нашли.
Will they find?;Найдут ли они?
They will not find.;Они не найдут.
They will find.;Они найдут.
Do they find?;Они находят?
They don't find.;Они не находят.
They find.;Они находят.
Did they find?;Они нашли?
They didn't find.;Они не нашли.
They found.;Они нашли.
Will he find?;Он найдет?
He will not find.;Он не найдет.
He will find.;Он найдет.
Does he find?;Он находит?
He doesn't find.;Он не находит.
He findes.;Он находит.
Did he find?;Он нашел?
He didn't find.;Он не нашел.
He found.;Он нашел.
Will she find?;Она найдет?
She will not find.;Она не найдет.
She will find.;Она найдет.
Does she find?;Она находит?
She doesn't find.;Она не находит.
She findes.;Она находит.
Did she find?;Она нашла?
She didn't find.;Она не нашла.
She found.;Она нашла.
Will i give?;Я дам?
I will not give.;Я не буду давать.
I will give.;Я дам.
Do i give?;Я даю?
I don't give.;Я не даю.
I give.;Я даю.
Did i give?;Я дал?
I didn't give.;Я не дал.
I gave.;Я дал.
Will you give?;Вы дадите?
You will not give.;Вы не дадите.
You will give.;Вы дадите.
Do you give?;Вы даете?
You don't give.;Вы не даете.
You give.;Вы даете.
Did you give?;Ты дал?
You didn't give.;Вы не дали.
You gave.;Ты дал.
Will we give?;Мы дадим?
We will not give.;Мы не дадим.
We will give.;Мы дадим.
Do we give?;Мы даем?
We don't give.;Мы не даем.
We give.;Мы даем.
Did we give?;Мы дали?
We didn't give.;Мы не дали.
We gave.;Мы дали.
Will they give?;Дадут ли они?
They will not give.;Они не дадут.
They will give.;Они дадут.
Do they give?;Они дают?
They don't give.;Они не дают.
They give.;Они дают.
Did they give?;Они дали?
They didn't give.;Они не дали.
They gave.;Они дали.
Will he give?;Он даст?
He will not give.;Он не даст.
He will give.;Он даст.
Does he give?;Он дает?
He doesn't give.;Он не дает.
He gives.;Он дает.
Did he give?;Он дал?
He didn't give.;Он не дал.
He gave.;Он дал.
Will she give?;Она даст?
She will not give.;Она не даст.
She will give.;Она даст.
Does she give?;Она дает?
She doesn't give.;Она не дает.
She gives.;Она дает.
Did she give?;Она дала?
She didn't give.;Она не дала.
She gave.;Она дала.
Will i tell?;Я скажу?
I will not tell.;Я не скажу.
I will tell.;Я расскажу.
Do i tell?;Я говорю?
I don't tell.;Я не говорю.
I tell.;Я говорю.
Did i tell?;Я сказал?
I didn't tell.;Я не сказал.
I told.;Я сказал.
Will you tell?;Расскажешь?
You will not tell.;Вы не скажете.
You will tell.;Вы скажете.
Do you tell?;Ты говоришь?
You don't tell.;Вы не говорите.
You tell.;Вы говорите.
Did you tell?;Ты сказал?
You didn't tell.;Вы не сказали.
You told.;Вы сказали.
Will we tell?;Мы расскажем?
We will not tell.;Мы не будем рассказывать.
We will tell.;Мы расскажем.
Do we tell?;Мы говорим?
We don't tell.;Мы не говорим.
We tell.;Мы говорим.
Did we tell?;Мы рассказали?
We didn't tell.;Мы не сказали.
We told.;Мы сказали.
Will they tell?;Они скажут?
They will not tell.;Они не скажут.
They will tell.;Они скажут.
Do they tell?;Они говорят?
They don't tell.;Они не говорят.
They tell.;Они говорят.
Did they tell?;Они сказали?
They didn't tell.;Они не сказали.
They told.;Они сказали.
Will he tell?;Он скажет?
He will not tell.;Он не скажет.
He will tell.;Он скажет.
Does he tell?;Он говорит?
He doesn't tell.;Он не говорит.
He telles.;Он рассказывает.
Did he tell?;Он сказал?
He didn't tell.;Он не сказал.
He told.;Он сказал.
Will she tell?;Она расскажет?
She will not tell.;Она не скажет.
She will tell.;Она скажет.
Does she tell?;Она рассказывает?
She doesn't tell.;Она не говорит.
She telles.;Она рассказывает.
Did she tell?;Она рассказала?
She didn't tell.;Она не сказала.
She told.;Она сказала.
Will i feel?;Буду ли я чувствовать?
I will not feel.;Я не буду чувствовать.
I will feel.;Я буду чувствовать
Do i feel?;Я чувствую?
I don't feel.;Я не чувствую
I feel.;Я чувствую.
Did i feel?;Я чувствовал?
I didn't feel.;Я не чувствовал.
I felt.;Я почувствовал.
Will you feel?;Ты будешь чувствовать?
You will not feel.;Вы не будете чувствовать.
You will feel.;Ты почувствуешь.
Do you feel?;Ты чувствуешь?
You don't feel.;Ты не чувствуешь.
You feel.;Ты чувствуешь.
Did you feel?;Вы чувствовали?
You didn't feel.;Вы не чувствовали.
You felt.;Вы чувствовали.
Will we feel?;Будем ли мы чувствовать?
We will not feel.;Мы не будем чувствовать.
We will feel.;Мы будем чувствовать.
Do we feel?;Чувствуем ли мы?
We don't feel.;Мы не чувствуем.
We feel.;Мы чувствуем.
Did we feel?;Мы чувствовали?
We didn't feel.;Мы не чувствовали.
We felt.;Мы чувствовали.
Will they feel?;Будут ли они чувствовать?
They will not feel.;Они не будут чувствовать.
They will feel.;Они будут чувствовать.
Do they feel?;Они чувствуют?
They don't feel.;Они не чувствуют.
They feel.;Они чувствуют.
Did they feel?;Чувствовали ли они?
They didn't feel.;Они не чувствовали.
They felt.;Они почувствовали.
Will he feel?;Будет ли он чувствовать?
He will not feel.;Он не будет чувствовать.
He will feel.;Он будет чувствовать.
Does he feel?;Чувствует ли он?
He doesn't feel.;Он не чувствует.
He feeles.;Он чувствует себя
Did he feel?;Он чувствовал?
He didn't feel.;Он не чувствовал.
He felt.;Он чувствовал.
Will she feel?;Будет ли она чувствовать?
She will not feel.;Она не будет чувствовать.
She will feel.;Она будет чувствовать.
Does she feel?;Чувствует ли она?
She doesn't feel.;Она не чувствует.
She feeles.;Она чувствует себя
Did she feel?;Она чувствовала?
She didn't feel.;Она не чувствовала.
She felt.;Она чувствовала.
Will i become?;Я стану?
I will not become.;Я не стану.
I will become.;Я стану.
Do i become?;Я стал?
I don't become.;Я не стал
I become.;Я становлюсь.
Did i become?;Я стал?
I didn't become.;Я не стал
I became.;Я стал.
Will you become?;Вы станете?
You will not become.;Ты не станешь.
You will become.;Вы станете.
Do you become?;Вы стали?
You don't become.;Ты не стал.
You become.;Вы становитесь.
Did you become?;Вы стали?
You didn't become.;Ты не стал.
You became.;Вы стали.
Will we become?;Мы станем?
We will not become.;Мы не станем.
We will become.;Мы станем.
Do we become?;Мы становимся?
We don't become.;Мы не становимся.
We become.;Мы становимся.
Did we become?;Мы стали?
We didn't become.;Мы не стали.
We became.;Мы стали.
Will they become?;Будут ли они стать?
They will not become.;Они не станут.
They will become.;Они станут.
Do they become?;Они становятся?
They don't become.;Они не становятся.
They become.;Они становятся.
Did they become?;Они стали?
They didn't become.;Они не стали.
They became.;Они становятся.
Will he become?;Он станет?
He will not become.;Он не станет.
He will become.;Он станет.
Does he become?;Он стал?
He doesn't become.;Он не стал.
He becomes.;Он становится.
Did he become?;Он стал?
He didn't become.;Он не стал.
He became.;Он стал.
Will she become?;Она станет?
She will not become.;Она не станет.
She will become.;Она станет.
Does she become?;Она стала?
She doesn't become.;Она не становится.
She becomes.;Она становится.
Did she become?;Она стала?
She didn't become.;Она не стала.
She became.;Она стала.
Will i leave?;Я уйду?
I will not leave.;Я не уйду.
I will leave.;Я оставлю.
Do i leave?;Я ухожу?
I don't leave.;Я не ухожу
I leave.;Я ухожу.
Did i leave?;Я ушел?
I didn't leave.;Я не ушел.
I left.;Я ушел.
Will you leave?;Ты уйдешь?
You will not leave.;Вы не уйдете.
You will leave.;Вы уйдете.
Do you leave?;Ты уходишь?
You don't leave.;Вы не уходите.
You leave.;Ты уходишь.
Did you leave?;Ты ушел?
You didn't leave.;Вы не ушли.
You left.;Вы оставили.
Will we leave?;Мы уйдем?
We will not leave.;Мы не уйдем.
We will leave.;Мы уйдем.
Do we leave?;Мы уходим?
We don't leave.;Мы не уходим.
We leave.;Мы уходим.
Did we leave?;Мы ушли?
We didn't leave.;Мы не уходили.
We left.;Мы ушли.
Will they leave?;Они уйдут?
They will not leave.;Они не уйдут.
They will leave.;Они уйдут.
Do they leave?;Они уходят?
They don't leave.;Они не уходят.
They leave.;Они ушли.
Did they leave?;Они ушли?
They didn't leave.;Они не уходили.
They left.;Они уехали.
Will he leave?;Он уйдет?
He will not leave.;Он не уйдет.
He will leave.;Он уйдет
Does he leave?;Он уходит?
He doesn't leave.;Он не уходит.
He leaves.;Он уходит.
Did he leave?;Он ушел?
He didn't leave.;Он не ушел.
He left.;Он ушел.
Will she leave?;Она уйдет?
She will not leave.;Она не уйдет.
She will leave.;Она уйдет
Does she leave?;Она уходит?
She doesn't leave.;Она не уходит.
She leaves.;Она оставляет.
Did she leave?;Она ушла?
She didn't leave.;Она не ушла.
She left.;Она ушла.
Will i put?;Я положу?
I will not put.;Я не буду ставить.
I will put.;Я положу.
Do i put?;Я положил?
I don't put.;Я не ставлю.
I put.;Я кладу.
Did i put?;Я положил?
I didn't put.;Я не положил.
I  ставить.;Я ставить.
Will you put?;Будешь ставить?
You will not put.;Вы не будете ставить.
You will put.;Вы положите.
Do you put?;Вы положили?
You don't put.;Вы не положили.
You put.;Вы положили.
Did you put?;Вы положили?
You didn't put.;Вы не положили.
You  ставить.;Вы ставите.
Will we put?;Будем ли мы ставить?
We will not put.;Мы не будем ставить.
We will put.;Будем ставить.
Do we put?;Мы положили?
We don't put.;Мы не ставим.
We put.;Мы ставим.
Did we put?;Мы положили?
We didn't put.;Мы не ставили.
We  ставить.;Мы ставить.
Will they put?;Будут ли они положить?
They will not put.;Они не будут ставить.
They will put.;Они будут ставить.
Do they put?;Они ставят?
They don't put.;Они не ставят.
They put.;Они кладут.
Did they put?;Они положили?
They didn't put.;Они не положили.
They  ставить.;Они ставить.
Will he put?;Он положит?
He will not put.;Он не поставит.
He will put.;Он поставит.
Does he put?;Он положил?
He doesn't put.;Он не ставит.
He putes.;Он спорит.
Did he put?;Он положил?
He didn't put.;Он не положил.
He  ставить.;Он ставить.
Will she put?;Она положит?
She will not put.;Она не будет ставить.
She will put.;Она поставит.
Does she put?;Она положила?
She doesn't put.;Она не кладет.
She putes.;Она спорит.
Did she put?;Она положила?
She didn't put.;Она не положила.
She  ставить.;Она ставить.
Will i mean?;Я буду иметь ввиду?
I will not mean.;Я не буду иметь в виду.
I will mean.;Я буду иметь в виду.
Do i mean?;Я имею в виду?
I don't mean.;Я не имею в виду
I mean.;Я имею в виду.
Did i mean?;Я имел ввиду?
I didn't mean.;Я не имел в виду
I meant.;Я имел в виду.
Will you mean?;Вы будете иметь в виду?
You will not mean.;Вы не будете иметь в виду.
You will mean.;Вы будете иметь в виду.
Do you mean?;Ты имеешь ввиду?
You don't mean.;Вы не имеете в виду.
You mean.;Ты имеешь в виду.
Did you mean?;Вы имели в виду?
You didn't mean.;Вы не имели в виду.
You meant.;Вы имели в виду.
Will we mean?;Будем ли мы иметь в виду?
We will not mean.;Мы не будем иметь в виду.
We will mean.;Мы будем иметь в виду.
Do we mean?;Мы имеем в виду?
We don't mean.;Мы не имеем в виду
We mean.;Мы имеем в виду.
Did we mean?;Мы имели в виду?
We didn't mean.;Мы не имели в виду
We meant.;Мы имели в виду
Will they mean?;Они будут иметь в виду?
They will not mean.;Они не будут иметь в виду.
They will mean.;Они будут иметь в виду.
Do they mean?;Они имеют в виду?
They don't mean.;Они не имеют в виду.
They mean.;Они имеют в виду.
Did they mean?;Они имели в виду?
They didn't mean.;Они не имели в виду.
They meant.;Они имели в виду.
Will he mean?;Будет ли он иметь в виду?
He will not mean.;Он не будет иметь в виду.
He will mean.;Он будет иметь в виду.
Does he mean?;Он имеет в виду?
He doesn't mean.;Он не имеет в виду.
He meanes.;Он имеет в виду.
Did he mean?;Он имел в виду?
He didn't mean.;Он не имел в виду.
He meant.;Он имел в виду.
Will she mean?;Будет ли она иметь в виду?
She will not mean.;Она не будет иметь в виду.
She will mean.;Она будет иметь в виду.
Does she mean?;Она имеет в виду?
She doesn't mean.;Она не имеет в виду.
She meanes.;Она имеет в виду.
Did she mean?;Она имела в виду?
She didn't mean.;Она не имела в виду.
She meant.;Она имела в виду.
Will i keep?;Буду ли я держать?
I will not keep.;Я не буду держать.
I will keep.;Я сдержу.
Do i keep?;Я держу?
I don't keep.;Я не держу
I keep.;Я держу.
Did i keep?;Я сохранил?
I didn't keep.;Я не держал.
I kept.;Я продолжал.
Will you keep?;Ты будешь держать?
You will not keep.;Вы не будете держать.
You will keep.;Вы сохраните.
Do you keep?;Вы держите?
You don't keep.;Вы не держите.
You keep.;Ты держишь.
Did you keep?;Вы сохранили?
You didn't keep.;Вы не сохранили.
You kept.;Вы держали
Will we keep?;Мы будем держать?
We will not keep.;Мы не будем держать.
We will keep.;Мы будем держать
Do we keep?;Мы продолжаем?
We don't keep.;Мы не держим.
We keep.;Мы продолжаем.
Did we keep?;Мы сохранили?
We didn't keep.;Мы не сохранили.
We kept.;Мы сохранили.
